ยี่ห้อ,ปีที่ออกขายครั้งแรก,ราคาขายมือสอง,กิโลเมตรที่ขับไปแล้ว,ประเภทเชื้อเพลิง,ประเภทผู้ขายรถ,ประเภทเกียร์,จำนวนเจ้าของรถในอดีต
Suzuki,2018,200000,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2017,625000,52000,เบนซิน,เต๊นท์รถ,Manual,1
Ford,2006,110000,120000,ดีเซล,เจ้าของขายเอง,Manual,3
Hyundai Elite i20 Asta Option BSIV,2019,800000,11240,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Grand i10 CRDi Magna,2017,490000,66000,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2017,880000,64000,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai Santro Xing GL Plus,2013,290000,49000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2006,115999,100000,ดีเซล,เจ้าของขายเอง,Manual,2
Toyota,2018,360000,26500,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2002,65000,100000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2017,685000,72000,ดีเซล,เต๊นท์รถ,Manual,1
Honda,2009,300000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 1.4 Sportz,2017,680000,44000,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2017,1000000,60000,ดีเซล,เจ้าของขายเอง,Manual,2
Tata,2002,100000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Xylo E4,2010,160000,130000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2017,450000,70000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2014,600000,20000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 1.4 Magna ABS,2009,180000,60000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzukii,2007,100000,195000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzukii,2010,120000,90000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Getz GL,2006,130000,80000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2011,160000,155000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Bolero Power Plus SLX,2019,860000,35000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai i20 1.2 Spotz,2018,650000,20000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2010,100000,80000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2017,282000,20000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 Asta (o),2009,300000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 Asta,2010,270000,110000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Verna 1.6 SX CRDi (O),2013,550000,29000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Xylo D2 BSIV,2013,450000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Bolero SLX 2WD BSIII,2011,430000,70000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2013,350000,40000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2017,350000,20000,เบนซิน,เจ้าของขายเอง,Manual,1
Toyota,2013,229999,50000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2013,110000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2012,395000,49000,เบนซิน,เจ้าของขายเอง,Manual,2
Mahindra Scorpio VLS AT 2.2 mHAWK,2011,650000,70000,ดีเซล,เจ้าของขายเอง,Automatic,2
Mahindra Bolero SLX,2011,350000,90000,ดีเซล,เจ้าของขายเอง,Manual,2
Mahindra XUV500 W11 Option AWD,2020,1400000,25000,ดีเซล,เต๊นท์รถ,Manual,1
Tata,2018,360000,4000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Marazzo M8 8Str,2018,1300000,10000,ดีเซล,เจ้าของขายเอง,Manual,1
Toyota,2015,800000,15000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai EON Magna Plus,2018,229999,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2014,315000,41000,เบนซิน,เต๊นท์รถ,Manual,1
Chevrolet,2012,125000,28000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2019,700000,16000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai EON 1.0 Kappa Magna Plus,2015,160000,70000,เบนซิน,เจ้าของขายเอง,Manual,1
Ford,2017,530000,10832,เบนซิน,เต๊นท์รถ,Manual,1
Ford,2018,624000,14681,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai i10 Era,2009,250000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Bolero SLX,2016,585000,51000,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai Verna 1.4 VTVT,2015,500000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Chevrolet,2014,350000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2014,495000,80000,ดีเซล,เต๊นท์รถ,Manual,1
Hyundai Grand i10 1.2 Kappa Asta,2017,500000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra Bolero Power Plus Plus AC BSIV PS,2015,430000,200000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Grand i10 1.2 Kappa Sportz Option,2013,345000,44000,เบนซิน,เต๊นท์รถ,Manual,1
Suzuki,2015,500000,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2019,425000,19600,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2005,80000,40000,เบนซิน,เจ้าของขายเอง,Manual,2
Chevrolet,2011,106000,50000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2009,180000,46730,เบนซิน,เจ้าของขายเอง,Manual,1
Mitsubishi,2015,250000,40000,เบนซิน,เจ้าของขายเอง,Manual,2
Skoda,2011,350000,80000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2002,60000,80000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Verna CRDi 1.6 EX,2018,900000,24000,ดีเซล,เจ้าของขายเอง,Manual,1
Ford,2017,700000,21170,ดีเซล,เต๊นท์รถ,Manual,1
BMW,2013,2000000,167223,ดีเซล,เต๊นท์รถ,Automatic,1
Suzuki,2017,1000000,40000,ดีเซล,เจ้าของขายเอง,Manual,1
BMW,2011,1375000,60000,ดีเซล,เจ้าของขายเอง,Automatic,1
Toyota,2016,1800000,141440,ดีเซล,เต๊นท์รถ,Manual,1
Chevrolet,2007,160000,120000,ดีเซล,เจ้าของขายเอง,Manual,3
Mitsubishi,2012,525000,140000,เบนซิน,เจ้าของขายเอง,Automatic,1
Mahindra XUV500 W8 2WD,2012,850000,212814,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2019,800000,30000,ดีเซล,เจ้าของขายเอง,Manual,1
Ford,2017,700000,88635,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2018,800000,25000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai i20 1.2 Spotz,2017,575000,20000,เบนซิน,เจ้าของขายเอง,Manual,2
Toyota,2012,350000,110000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2008,250000,120000,ดีเซล,เจ้าของขายเอง,Manual,3
Ford,2011,600000,149674,ดีเซล,เต๊นท์รถ,Manual,2
Mahindra Scorpio 2.6 Turbo 9 Str,2007,370000,100000,ดีเซล,เจ้าของขายเอง,Manual,3
Suzuki,2006,80000,120000,เบนซิน,เจ้าของขายเอง,Manual,3
Tata,2003,50000,120000,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai Verna CRDi 1.6 EX,2018,900000,25000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2014,300000,35000,เบนซิน,เจ้าของขายเอง,Manual,2
Tata,2002,125000,40000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2015,490000,60000,ดีเซล,เจ้าของขายเอง,Manual,2
Toyota,2012,300000,50000,ดีเซล,เจ้าของขายเอง,Manual,2
Tata,2013,55000,25000,เบนซิน,เจ้าของขายเอง,Manual,3
Hyundai Grand i10 Sportz,2016,350000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Grand i10 1.2 CRDi Asta,2019,755000,8000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2017,720000,60000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Bolero SLX,2006,229999,200000,ดีเซล,เจ้าของขายเอง,Manual,3
Mahindra Scorpio S7 140 BSIV,2018,1100000,20000,ดีเซล,เจ้าของขายเอง,Manual,1
Volkswagen,2013,400000,100000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Xcent 1.1 CRDi Base,2015,350000,70000,ดีเซล,เจ้าของขายเอง,Manual,2
Chevrolet,2012,159000,68000,ดีเซล,เต๊นท์รถ,Manual,1
Suzuki,2017,550000,38000,เบนซิน,เต๊นท์รถ,Manual,1
Suzuki,2013,335000,80000,ดีเซล,เต๊นท์รถ,Manual,1
Tata,2014,185000,72000,CNG,เต๊นท์รถ,Manual,1
Suzuki,2012,229999,75000,CNG,เต๊นท์รถ,Manual,1
Suzuki,2014,225000,43000,เบนซิน,เต๊นท์รถ,Manual,1
Suzuki,2007,250000,120000,เบนซิน,เจ้าของขายเอง,Manual,2
Tata,2015,400000,100000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2014,470000,163000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2018,300000,25000,เบนซิน,เจ้าของขายเอง,Automatic,1
Suzuki,2011,145000,25000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2007,100000,90000,เบนซิน,เจ้าของขายเอง,Manual,2
Mahindra Scorpio SLE BSIV,2014,500000,70000,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai Santro Xing GLS CNG,2010,130000,98000,CNG,เจ้าของขายเอง,Manual,2
Chevrolet,2010,240000,81925,ดีเซล,เจ้าของขายเอง,Manual,1
Ford,2013,150000,80000,ดีเซล,เจ้าของขายเอง,Manual,2
Toyota,2017,270000,40000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2014,400000,90000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai EON Era Plus,2012,200000,46000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra XUV500 W6 2WD,2012,550000,80000,ดีเซล,เจ้าของขายเอง,Manual,1
Toyota,2018,325000,35000,เบนซิน,เจ้าของขายเอง,Manual,1
Skoda,2017,860000,82080,ดีเซล,เจ้าของขายเอง,Automatic,1
Mahindra XUV500 W8 2WD,2012,600000,200000,ดีเซล,เจ้าของขายเอง,Manual,1
Chevrolet,2009,125000,70000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2000,60000,40000,เบนซิน,เจ้าของขายเอง,Manual,3
Chevrolet,2010,300000,120000,ดีเซล,เจ้าของขายเอง,Manual,3
Ford,2007,190000,60000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2013,400000,110000,ดีเซล,เจ้าของขายเอง,Manual,1
Tata,2011,260000,97000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2017,400000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 Sportz เบนซิน,2010,250000,40000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Grand i10 1.2 Kappa Asta,2019,600000,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2010,175000,52047,เบนซิน,เจ้าของขายเอง,Manual,1
Toyota,2011,450000,200000,ดีเซล,เจ้าของขายเอง,Manual,3
Tata,2019,350000,15000,เบนซิน,เจ้าของขายเอง,Automatic,2
Suzuki,2018,800000,50000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2011,250000,70000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2019,600000,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2017,600000,90000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2016,130000,40000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2006,90000,62009,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai i20 Active 1.2 S,2017,595000,33100,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai EON Era Plus,2014,190000,40000,เบนซิน,เจ้าของขายเอง,Manual,2
Hyundai Santro GLS I - Euro I,1999,50000,120000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2007,95000,80000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2016,1000000,70000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra Scorpio REV 116,2006,220000,220000,เบนซิน,เจ้าของขายเอง,Manual,2
Mahindra Bolero SLX,2010,400000,50000,ดีเซล,เจ้าของขายเอง,Manual,1
Mitsubishi,2015,315000,45000,เบนซิน,เจ้าของขายเอง,Manual,2
Toyota,2014,1000000,110000,ดีเซล,เจ้าของขายเอง,Manual,1
Ford,2014,500000,49000,ดีเซล,เจ้าของขายเอง,Manual,1
Mahindra XUV500 W11 AT BSIV,2018,1600000,35000,ดีเซล,เจ้าของขายเอง,Automatic,1
Mahindra Supro VX 8 Str,2017,500000,160000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2007,70000,180000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2007,105000,60000,เบนซิน,เจ้าของขายเอง,Manual,2
Ford,2008,400000,110000,ดีเซล,เจ้าของขายเอง,Manual,3
Suzuki,2004,80000,60000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2016,300000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra KUV 100 D75 K2,2017,409999,40000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2009,250000,70000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2010,250000,120000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2012,215000,80000,ดีเซล,เจ้าของขายเอง,Manual,3
Toyota,2015,1400000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Honda,2018,475000,20000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2018,475000,22000,เบนซิน,เจ้าของขายเอง,Manual,1
Chevrolet,2008,75000,35000,เบนซิน,เจ้าของขายเอง,Manual,2
Chevrolet,2013,200000,120000,ดีเซล,เจ้าของขายเอง,Manual,2
Tata,2019,575000,8000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2011,150000,40000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2018,850000,10000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Santro Era,2019,350000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Ford,2011,550000,54000,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai Verna 1.4 VTVT,2017,330000,80577,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2017,1044999,25000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Verna 1.6 CRDI,2011,300000,127500,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai EON D Lite Plus,2015,235000,40903,เบนซิน,เต๊นท์รถ,Manual,1
Ford,2011,120000,60000,เบนซิน,เจ้าของขายเอง,Manual,3
Suzuki,2004,130000,46000,เบนซิน,เจ้าของขายเอง,Manual,1
Ford,2004,275000,22288,ดีเซล,เต๊นท์รถ,Manual,2
Volkswagen,2011,270000,180000,ดีเซล,เจ้าของขายเอง,Manual,2
Volkswagen,2015,500000,30000,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai Grand i10 Sportz,2015,400000,61690,เบนซิน,เต๊นท์รถ,Manual,1
Hyundai i20 Asta 1.2,2015,600000,64484,เบนซิน,เต๊นท์รถ,Manual,1
Audi,2012,1350000,90000,ดีเซล,เจ้าของขายเอง,Automatic,2
Toyota,2013,400000,75976,ดีเซล,เต๊นท์รถ,Manual,2
Ford,2011,220000,70000,ดีเซล,เจ้าของขายเอง,Manual,2
Honda,2012,300000,85962,เบนซิน,เต๊นท์รถ,Manual,2
Suzuki,2018,250000,120000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2015,600000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Honda,2012,285000,75000,เบนซิน,เจ้าของขายเอง,Automatic,2
Honda,2009,350000,57035,เบนซิน,เต๊นท์รถ,Manual,1
Mahindra Bolero SLX,2011,170000,70000,ดีเซล,เจ้าของขายเอง,Manual,3
Ford,2015,229999,45000,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra XUV500 W6 2WD,2013,500000,72104,ดีเซล,เต๊นท์รถ,Manual,2
Tata,2011,75000,15000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 Active 1.2 SX,2016,600000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2011,220000,80000,ดีเซล,เจ้าของขายเอง,Manual,1
Tata,2009,150000,164000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2006,65000,124439,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2006,120000,77000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2014,240000,90000,ดีเซล,เจ้าของขายเอง,Manual,1
Toyota,2017,390000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Chevrolet,2012,180000,50000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2012,320000,80000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2018,310000,5000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2018,420000,24000,เบนซิน,เจ้าของขายเอง,Automatic,1
Tata,2019,550000,10000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2016,550000,78000,ดีเซล,เจ้าของขายเอง,Manual,3
Mahindra TUV 300 T4 Plus,2018,760000,50000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2001,43000,100000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2018,250000,20000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai Santro Magna BSIV,2019,500000,1250,เบนซิน,เจ้าของขายเอง,Manual,1
Tata,2015,380000,17152,เบนซิน,เจ้าของขายเอง,Manual,1
Mahindra XUV500 W11 Option AT AWD,2019,1850000,5000,ดีเซล,เจ้าของขายเอง,Automatic,1
Volkswagen,2012,350000,77000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai Verna CRDi,2008,195000,90000,ดีเซล,เจ้าของขายเอง,Manual,2
Chevrolet,2011,225000,80000,เบนซิน,เจ้าของขายเอง,Manual,2
Toyota,2015,1125000,65000,ดีเซล,เจ้าของขายเอง,Manual,1
Tata,2011,133000,80000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai EON Era Plus,2013,200000,24005,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2018,940000,20000,ดีเซล,เจ้าของขายเอง,Manual,1
Toyota,2014,400000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai i10 Era 1.1,2009,120000,120000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2015,625000,80000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2005,110000,80000,เบนซิน,เจ้าของขายเอง,Manual,1
Toyota,2012,490000,100000,ดีเซล,เจ้าของขายเอง,Manual,1
Suzuki,2009,140000,120000,เบนซิน,เจ้าของขายเอง,Manual,2
Ford,2011,175000,149000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2005,90000,65000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2009,275000,100000,ดีเซล,เจ้าของขายเอง,Manual,2
Volkswagen,2011,300000,65000,ดีเซล,เจ้าของขายเอง,Manual,2
Mitsubishi,2018,270000,19000,เบนซิน,เจ้าของขายเอง,Manual,2
Chevrolet,2010,130000,80000,เบนซิน,เจ้าของขายเอง,Manual,2
Suzuki,2015,275000,30000,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2012,352000,109000,ดีเซล,เจ้าของขายเอง,Manual,1
Hyundai EON LPG Magna Plus,2012,180000,90000,LPG,เจ้าของขายเอง,Manual,1
Suzuki,2012,150000,90000,เบนซิน,เจ้าของขายเอง,Manual,1
Volkswagen ,2011,300000,65000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2010,300000,110000,ดีเซล,เจ้าของขายเอง,Manual,2
Mahindra Bolero DI DX 7 Seater,2007,225000,120000,ดีเซล,เจ้าของขายเอง,Manual,1
Honda,2014,600000,44000,ดีเซล,เจ้าของขายเอง,Manual,2
Suzuki,2015,500000,80000,เบนซิน,เจ้าของขายเอง,Manual,1
Honda,2018,900000,5000,เบนซิน,เจ้าของขายเอง,Manual,1
Hyundai i20 Magna 1.2,2016,600000,61000,เบนซิน,เจ้าของขายเอง,Manual,1
Toyota,2011,450000,100000,ดีเซล,เจ้าของขายเอง,Manual,2
Hyundai i10 Era 1.1,2009,270000,27633,เบนซิน,เจ้าของขายเอง,Manual,1
Suzuki,2010,310000,100000,ดีเซล,เจ้าของขายเอง,Manual,3
Hyundai Santro Xing GLS Audio LPG,2012,250000,100000,LPG,เจ้าของขายเอง,Manual,1
Ford,2019,700000,12586,เบนซิน,เต๊นท์รถ,Manual,1
Fiat,2018,650000,38083,ดีเซล,เต๊นท์รถ,Manual,1
Ford,2012,400000,55328,ดีเซล,เต๊นท์รถ,Manual,2
Ford,2012,425000,81632,ดีเซล,เต๊นท์รถ,Manual,1
Ford,2016,600000,155201,ดีเซล,เต๊นท์รถ,Manual,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,, ,,,,,
,,,,,,,
,,,,,,,
, ,,,,,,